"","URL_of_Anchor","Request_URL","URL_Length","having_At_Symbol","Prefix_Suffix","having_Sub_Domain","Result"
"3",0,-1,0,1,-1,-1,-1
"4",0,1,0,1,-1,1,1
"7",0,-1,0,1,-1,-1,-1
"8",0,1,0,1,-1,1,1
"9",0,1,1,1,-1,-1,-1
"11",-1,1,1,1,-1,1,-1
"13",-1,-1,1,1,-1,0,-1
"14",0,1,1,1,1,-1,1
"16",0,1,-1,1,-1,1,-1
"17",0,1,-1,1,0,-1,-1
"18",0,-1,1,1,-1,-1,1
"19",0,1,0,1,-1,-1,1
"20",0,1,0,1,-1,0,1
"21",0,-1,0,1,-1,0,1
"22",0,1,1,1,-1,-1,1
"23",0,1,1,1,0,1,1
"25",1,1,-1,1,-1,0,1
"26",-1,-1,-1,1,-1,0,-1
"27",1,-1,-1,1,1,-1,1
"28",1,1,-1,1,1,-1,1
"29",1,1,-1,1,-1,-1,1
"30",0,1,-1,1,0,-1,1
"31",0,1,-1,1,-1,-1,1
"32",1,1,-1,1,0,1,1
"33",0,1,0,1,-1,-1,1
"34",-1,-1,0,1,-1,0,-1
"35",-1,1,0,1,-1,-1,-1
"39",1,-1,-1,1,-1,0,1
"40",1,1,-1,1,1,1,1
"41",0,1,-1,1,-1,1,1
"44",-1,1,-1,-1,-1,0,-1
"47",0,-1,-1,1,-1,-1,-1
"49",0,1,-1,1,-1,1,1
"50",0,1,-1,1,-1,1,-1
"52",1,1,-1,1,1,-1,1
"54",-1,-1,-1,1,-1,0,-1
"55",-1,-1,-1,1,-1,0,-1
"56",0,1,-1,1,0,1,1
"58",0,1,-1,0,-1,-1,-1
"59",-1,-1,-1,1,-1,0,-1
"60",0,1,-1,1,-1,1,-1
"61",0,-1,-1,1,-1,1,-1
"62",0,1,1,1,1,0,1
"64",1,1,1,1,1,1,1
"65",1,-1,-1,1,-1,0,1
"66",-1,1,1,1,-1,-1,-1
"67",0,-1,-1,1,-1,0,-1
"68",1,0,-1,1,1,-1,1
"69",-1,-1,-1,1,-1,-1,-1
"70",1,1,-1,1,-1,1,1
"71",0,1,-1,1,-1,1,1
"72",0,1,-1,1,-1,-1,-1
"73",1,1,-1,1,1,-1,1
"74",-1,-1,0,1,-1,0,-1
"76",0,-1,-1,1,1,0,1
"77",1,1,-1,1,1,1,1
"78",-1,1,-1,1,-1,-1,-1
"81",0,1,1,1,-1,0,1
"82",0,1,-1,1,1,-1,1
"83",0,1,1,0,-1,1,1
"86",0,1,-1,1,-1,1,-1
"89",-1,1,1,1,-1,0,-1
"90",0,1,-1,1,-1,1,-1
"91",1,-1,-1,1,1,1,1
"92",1,-1,-1,1,-1,1,1
"93",-1,1,-1,1,-1,-1,-1
"94",0,1,-1,1,-1,1,1
"95",-1,-1,-1,1,-1,-1,-1
"96",0,1,-1,1,-1,1,-1
"97",-1,1,1,1,-1,-1,-1
"99",0,1,-1,1,-1,1,1
"100",0,1,-1,1,-1,-1,-1
"101",-1,-1,-1,1,-1,-1,-1
"102",0,-1,-1,1,-1,0,1
"103",-1,-1,-1,1,-1,-1,-1
"105",0,-1,-1,1,-1,-1,-1
"106",0,1,-1,1,-1,-1,-1
"107",-1,-1,-1,1,-1,1,-1
"108",0,1,-1,1,0,0,1
"109",1,-1,-1,1,-1,-1,-1
"110",1,-1,-1,1,-1,1,1
"111",0,-1,-1,1,-1,-1,-1
"114",0,1,1,1,-1,-1,-1
"115",0,1,-1,1,0,0,1
"117",-1,-1,-1,1,-1,0,-1
"118",0,-1,-1,0,1,1,1
"121",1,1,-1,1,1,0,1
"122",0,1,1,1,1,0,1
"124",0,-1,-1,1,-1,-1,-1
"126",0,1,-1,1,-1,0,1
"127",0,1,1,1,-1,1,1
"130",0,-1,-1,1,-1,-1,-1
"131",1,-1,-1,1,-1,-1,1
"132",0,1,-1,1,-1,1,-1
"133",0,-1,-1,1,-1,-1,1
"134",-1,-1,-1,1,-1,0,-1
"135",1,1,-1,1,-1,1,1
"137",0,1,-1,1,1,1,1
"138",-1,-1,-1,1,-1,0,-1
"139",0,-1,-1,1,-1,-1,-1
"140",0,1,-1,1,-1,-1,-1
"142",0,1,-1,1,-1,1,-1
"144",-1,-1,1,1,-1,-1,-1
"145",0,1,-1,0,-1,-1,-1
"146",-1,1,-1,1,-1,-1,-1
"147",0,-1,-1,1,-1,0,1
"148",0,1,-1,1,-1,-1,1
"149",0,1,1,1,-1,1,1
"150",1,1,1,1,-1,-1,1
"152",1,1,-1,1,-1,-1,1
"153",-1,1,-1,1,-1,-1,1
"154",-1,-1,-1,-1,0,-1,-1
"156",-1,1,-1,1,-1,-1,-1
"157",-1,1,-1,1,-1,0,-1
"159",0,1,-1,1,-1,0,1
"161",0,0,-1,1,-1,1,1
"163",0,0,1,1,1,-1,1
"164",-1,-1,-1,1,-1,0,-1
"165",1,1,1,1,1,-1,1
"166",0,-1,-1,1,0,-1,1
"167",1,1,-1,1,-1,1,1
"168",-1,-1,-1,1,-1,-1,-1
"171",1,1,-1,1,-1,1,1
"172",0,-1,-1,1,-1,0,1
"173",0,-1,-1,1,1,-1,1
"174",0,-1,-1,1,0,0,-1
"176",0,-1,-1,1,-1,-1,-1
"177",0,1,-1,1,-1,0,-1
"178",0,1,-1,1,-1,-1,1
"181",0,-1,-1,1,1,-1,1
"183",0,1,-1,1,-1,-1,-1
"184",0,-1,-1,1,-1,1,1
"186",1,1,-1,1,0,0,1
"187",0,1,-1,1,-1,1,-1
"188",-1,-1,-1,1,-1,0,-1
"190",0,1,-1,1,-1,-1,1
"192",0,1,-1,1,1,1,1
"193",0,1,-1,1,-1,0,-1
"194",-1,-1,-1,1,-1,-1,-1
"195",0,1,-1,1,-1,0,1
"197",-1,1,-1,1,-1,-1,-1
