"","URL_of_Anchor","SSLfinal_State","web_traffic","having_Sub_Domain","Prefix_Suffix","Links_in_tags","SFH","Domain_registration_length","Result"
"2",0,-1,1,-1,-1,-1,-1,-1,-1
"3",0,-1,1,-1,-1,0,-1,1,-1
"5",0,1,0,1,-1,0,-1,0,1
"7",0,-1,0,-1,-1,-1,-1,1,-1
"8",0,1,1,1,-1,1,-1,-1,1
"9",0,1,0,-1,-1,1,-1,-1,-1
"10",0,1,1,0,-1,0,-1,1,1
"11",-1,-1,-1,1,-1,-1,-1,-1,-1
"12",-1,0,-1,0,-1,1,-1,1,-1
"13",-1,-1,0,0,-1,-1,-1,1,-1
"14",0,1,0,-1,1,1,1,-1,1
"15",-1,0,-1,0,-1,0,-1,1,-1
"17",0,0,1,-1,0,-1,-1,1,-1
"18",0,1,-1,-1,-1,-1,-1,1,1
"19",0,1,0,-1,-1,0,-1,-1,1
"20",0,1,1,0,-1,0,-1,-1,1
"24",0,1,-1,1,-1,0,-1,-1,1
"27",1,1,0,-1,1,0,-1,1,1
"28",1,1,1,-1,1,0,-1,-1,1
"30",0,1,-1,-1,0,1,-1,-1,1
"31",0,1,1,-1,-1,-1,-1,-1,1
"32",1,1,-1,1,0,1,1,-1,1
"33",0,1,1,-1,-1,1,-1,-1,1
"34",-1,0,1,0,-1,-1,-1,1,-1
"35",-1,-1,-1,-1,-1,0,-1,-1,-1
"36",-1,1,0,-1,-1,0,-1,-1,-1
"38",1,1,1,-1,1,-1,1,-1,1
"39",1,-1,1,0,-1,0,-1,-1,1
"40",1,1,1,1,1,0,-1,-1,1
"44",-1,-1,1,0,-1,1,-1,-1,-1
"46",0,1,1,-1,1,0,1,-1,1
"47",0,-1,1,-1,-1,-1,-1,-1,-1
"49",0,1,1,1,-1,1,-1,-1,1
"50",0,1,0,1,-1,-1,-1,-1,-1
"52",1,1,1,-1,1,1,-1,-1,1
"53",0,-1,1,1,-1,0,0,1,-1
"54",-1,-1,0,0,-1,0,-1,1,-1
"57",0,1,1,1,0,1,-1,-1,1
"58",0,-1,0,-1,-1,0,-1,-1,-1
"59",-1,0,0,0,-1,1,-1,-1,-1
"60",0,-1,0,1,-1,-1,-1,1,-1
"62",0,1,0,0,1,0,1,-1,1
"65",1,1,1,0,-1,0,-1,1,1
"66",-1,-1,1,-1,-1,-1,1,-1,-1
"67",0,-1,1,0,-1,0,-1,1,-1
"70",1,1,1,1,-1,0,-1,-1,1
"72",0,-1,-1,-1,-1,-1,-1,-1,-1
"73",1,1,1,-1,1,0,-1,-1,1
"74",-1,0,-1,0,-1,1,-1,-1,-1
"76",0,1,1,0,1,1,-1,1,1
"79",1,1,1,-1,-1,0,-1,-1,1
"80",-1,-1,-1,0,-1,0,-1,1,-1
"81",0,1,1,0,-1,1,1,-1,1
"82",0,1,1,-1,1,0,-1,-1,1
"83",0,1,1,1,-1,1,1,-1,1
"84",0,1,1,1,-1,0,1,-1,1
"85",-1,0,-1,0,-1,1,-1,-1,-1
"86",0,-1,0,1,-1,-1,-1,-1,-1
"88",1,1,1,1,1,1,-1,-1,1
"89",-1,0,1,0,-1,0,1,-1,-1
"90",0,-1,0,1,-1,1,-1,-1,-1
"91",1,1,1,1,1,0,-1,1,1
"92",1,1,-1,1,-1,0,-1,-1,1
"93",-1,-1,-1,-1,-1,0,-1,-1,-1
"97",-1,-1,-1,-1,-1,-1,1,-1,-1
"98",-1,0,0,-1,-1,1,-1,-1,-1
"99",0,1,1,1,-1,1,-1,-1,1
"100",0,-1,0,-1,-1,-1,-1,-1,-1
"101",-1,-1,-1,-1,-1,-1,-1,1,-1
"103",-1,-1,-1,-1,-1,0,-1,1,-1
"104",0,1,1,-1,-1,1,-1,-1,1
"105",0,-1,0,-1,-1,0,-1,-1,-1
"107",-1,-1,-1,1,-1,0,-1,-1,-1
"108",0,1,1,0,0,1,-1,-1,1
"109",1,-1,-1,-1,-1,-1,-1,1,-1
"111",0,-1,1,-1,-1,0,-1,1,-1
"113",1,1,1,-1,1,0,-1,-1,1
"114",0,1,0,-1,-1,1,1,-1,-1
"115",0,1,0,0,0,0,-1,-1,1
"116",-1,-1,1,1,-1,1,1,-1,-1
"117",-1,0,1,0,-1,-1,-1,1,-1
"118",0,1,0,1,1,-1,-1,-1,1
"119",1,1,1,1,-1,-1,-1,-1,1
"120",0,-1,0,-1,-1,-1,-1,1,1
"122",0,-1,1,0,1,0,1,-1,1
"123",0,1,0,0,-1,-1,-1,-1,1
"125",0,1,1,0,0,-1,1,-1,1
"128",0,-1,-1,0,1,-1,-1,1,1
"129",0,1,1,-1,-1,-1,-1,-1,-1
"130",0,0,0,-1,-1,-1,-1,1,-1
"131",1,1,1,-1,-1,1,-1,1,1
"132",0,-1,0,1,-1,0,-1,-1,-1
"133",0,1,1,-1,-1,-1,-1,1,1
"134",-1,-1,-1,0,-1,-1,-1,1,-1
"135",1,1,1,1,-1,0,-1,-1,1
"137",0,1,1,1,1,-1,-1,-1,1
"138",-1,0,-1,0,-1,-1,-1,1,-1
"139",0,1,1,-1,-1,-1,-1,-1,-1
"140",0,1,0,-1,-1,0,-1,-1,-1
"141",-1,0,-1,0,-1,0,1,-1,-1
"142",0,-1,0,1,-1,0,-1,-1,-1
"143",0,-1,0,1,-1,-1,-1,1,-1
"144",-1,-1,0,-1,-1,0,1,1,-1
"145",0,1,0,-1,-1,-1,-1,1,-1
"146",-1,-1,1,-1,-1,0,-1,-1,-1
"147",0,1,-1,0,-1,1,-1,1,1
"148",0,1,1,-1,-1,0,-1,-1,1
"149",0,1,0,1,-1,-1,1,0,1
"150",1,1,1,-1,-1,-1,1,-1,1
"151",0,1,1,1,-1,-1,-1,-1,1
"152",1,1,1,-1,-1,-1,-1,-1,1
"153",-1,1,1,-1,-1,0,-1,-1,1
"154",-1,-1,-1,-1,0,0,-1,1,-1
"155",0,1,0,1,-1,0,-1,-1,1
"156",-1,-1,1,-1,-1,1,-1,-1,-1
"157",-1,0,-1,0,-1,0,-1,-1,-1
"158",0,1,1,0,-1,-1,-1,1,1
"161",0,1,0,1,-1,1,-1,-1,1
"163",0,1,1,-1,1,0,1,-1,1
"165",1,1,1,-1,1,-1,1,-1,1
