"","URL_of_Anchor","SSLfinal_State","web_traffic","having_Sub_Domain","Prefix_Suffix","Links_in_tags","SFH","Domain_registration_length","Result"
"1",0,1,0,0,-1,-1,-1,-1,-1
"4",0,1,0,1,-1,0,-1,-1,1
"6",-1,-1,-1,-1,-1,0,-1,1,-1
"16",0,1,0,1,-1,-1,-1,-1,-1
"21",0,1,-1,0,-1,-1,-1,1,1
"22",0,-1,0,-1,-1,0,-1,-1,1
"23",0,0,1,1,0,0,-1,-1,1
"25",1,1,1,0,-1,0,-1,-1,1
"26",-1,-1,0,0,-1,-1,-1,1,-1
"29",1,1,1,-1,-1,0,-1,-1,1
"37",-1,-1,0,-1,-1,0,-1,1,-1
"41",0,1,1,1,-1,-1,-1,-1,1
"42",-1,-1,1,-1,-1,-1,-1,1,-1
"45",0,1,1,0,-1,-1,1,-1,1
"48",-1,1,0,-1,-1,-1,-1,-1,-1
"51",0,1,0,1,-1,0,1,-1,1
"55",-1,0,0,0,-1,0,-1,-1,-1
"56",0,1,1,1,0,0,-1,1,1
"61",0,-1,0,1,-1,-1,-1,-1,-1
"63",0,1,1,-1,-1,-1,0,-1,-1
"64",1,1,1,1,1,1,1,-1,1
"68",1,1,0,-1,1,-1,-1,-1,1
"69",-1,-1,-1,-1,-1,-1,-1,1,-1
"71",0,1,1,1,-1,-1,-1,-1,1
"77",1,1,1,1,1,-1,-1,-1,1
"78",-1,-1,-1,-1,-1,0,-1,-1,-1
"87",0,1,1,-1,-1,1,1,-1,1
"94",0,1,-1,1,-1,1,-1,-1,1
"95",-1,-1,-1,-1,-1,0,-1,1,-1
"96",0,1,0,1,-1,1,-1,-1,-1
"102",0,1,1,0,-1,-1,-1,1,1
"106",0,-1,1,-1,-1,-1,-1,-1,-1
"110",1,1,1,1,-1,1,-1,-1,1
"112",0,1,0,1,-1,-1,-1,-1,-1
"121",1,1,1,0,1,0,-1,-1,1
"124",0,-1,-1,-1,-1,1,-1,1,-1
"126",0,1,1,0,-1,1,-1,-1,1
"127",0,1,0,1,-1,0,1,-1,1
"136",0,-1,1,-1,-1,-1,-1,-1,-1
"159",0,1,1,0,-1,-1,-1,-1,1
"160",0,1,1,1,-1,-1,-1,-1,1
"162",-1,0,-1,0,-1,1,-1,-1,-1
"164",-1,0,-1,0,-1,0,-1,1,-1
"167",1,1,1,1,-1,0,-1,-1,1
"177",0,-1,1,0,-1,-1,-1,1,-1
"180",0,1,1,-1,-1,0,-1,-1,1
"184",0,1,1,1,-1,1,-1,0,1
"187",0,1,0,1,-1,0,-1,1,-1
"194",-1,-1,0,-1,-1,0,-1,-1,-1
"196",0,1,1,0,-1,-1,1,-1,1
"198",-1,0,-1,0,-1,0,-1,-1,-1
"201",0,-1,1,0,-1,0,1,-1,1
"203",0,1,1,-1,-1,0,-1,-1,1
"205",-1,-1,1,0,-1,1,1,-1,-1
"206",0,1,1,1,-1,0,-1,1,1
"217",0,1,1,0,-1,0,-1,1,1
"220",0,-1,1,0,-1,-1,-1,1,-1
"222",1,1,1,1,-1,0,-1,-1,1
"229",0,1,0,-1,-1,0,-1,1,-1
"230",0,-1,0,-1,-1,0,-1,-1,-1
"231",1,1,1,1,1,0,-1,-1,1
"234",1,1,1,0,-1,1,1,1,1
"235",0,1,-1,-1,-1,0,-1,1,1
"238",0,1,1,1,1,0,-1,1,1
"240",0,1,1,1,-1,1,-1,-1,1
"243",1,0,-1,1,-1,-1,-1,1,1
"246",0,1,0,1,-1,1,1,-1,-1
"247",0,1,0,-1,-1,-1,1,-1,-1
"253",1,1,1,-1,1,0,-1,1,1
"258",0,1,1,0,-1,1,-1,-1,1
"263",0,1,1,-1,-1,1,0,1,1
"265",1,1,1,0,1,-1,-1,-1,1
"266",0,-1,1,-1,-1,0,-1,-1,-1
"267",1,1,1,0,1,0,-1,-1,1
"272",1,1,1,0,-1,0,-1,1,1
"274",0,1,1,0,-1,0,-1,-1,1
"284",0,-1,-1,-1,-1,-1,-1,1,-1
"286",-1,0,-1,0,-1,0,-1,1,-1
"287",1,1,0,-1,-1,1,-1,-1,1
"293",0,-1,0,-1,-1,-1,-1,-1,-1
"295",0,1,1,-1,-1,0,-1,-1,1
"299",0,0,-1,0,-1,-1,-1,1,-1
"300",0,1,1,-1,1,1,1,-1,1
"301",-1,-1,-1,0,-1,-1,-1,-1,-1
"305",0,1,1,0,-1,0,1,-1,1
"306",1,1,-1,1,0,1,-1,-1,1
"310",0,1,1,1,-1,-1,-1,-1,1
"311",-1,0,0,0,0,0,-1,-1,-1
"314",0,1,1,-1,-1,0,0,-1,1
"323",1,1,1,1,-1,0,-1,-1,1
"331",1,1,1,0,-1,-1,0,1,1
"332",1,1,1,-1,1,0,-1,-1,1
"334",-1,-1,-1,-1,-1,-1,1,-1,-1
"335",-1,-1,-1,1,-1,-1,-1,1,-1
"339",0,1,1,1,-1,-1,1,-1,1
"343",1,0,0,1,-1,-1,-1,1,1
"344",0,1,1,0,-1,1,-1,1,1
"345",1,1,1,-1,-1,1,1,-1,1
"349",0,1,0,0,-1,-1,-1,-1,1
"369",-1,-1,-1,-1,-1,0,-1,1,-1
"370",1,1,1,1,1,0,-1,1,1
"371",0,-1,0,1,-1,0,-1,-1,1
"372",-1,-1,-1,-1,0,0,-1,-1,-1
"374",-1,-1,1,-1,-1,0,-1,-1,-1
"375",0,-1,1,0,-1,0,1,-1,1
"384",0,-1,1,0,-1,0,-1,-1,-1
"391",1,1,0,1,-1,-1,-1,-1,1
"396",1,1,1,0,1,0,-1,-1,1
"402",1,1,1,1,0,1,-1,-1,1
"403",1,1,1,-1,1,-1,-1,1,1
"405",1,1,1,0,1,1,-1,-1,1
"406",1,1,1,0,-1,0,-1,-1,1
"410",0,1,1,1,-1,0,-1,0,1
"412",0,1,1,-1,1,0,-1,-1,1
"420",-1,-1,0,-1,-1,1,-1,-1,-1
"421",-1,-1,-1,-1,-1,0,-1,1,-1
"425",0,-1,0,-1,-1,0,-1,-1,-1
"426",-1,-1,-1,-1,-1,0,1,-1,-1
"432",1,1,0,0,-1,-1,-1,1,1
"438",1,1,1,0,-1,-1,-1,-1,1
"440",0,1,1,1,-1,0,-1,-1,1
"441",-1,0,-1,0,-1,-1,-1,1,-1
"443",0,1,-1,-1,-1,0,-1,1,1
"451",-1,0,1,0,-1,-1,-1,-1,-1
"452",-1,-1,1,-1,-1,-1,1,-1,-1
"457",1,1,1,0,1,1,-1,-1,1
"460",-1,0,1,0,-1,0,1,-1,-1
"461",0,0,1,-1,-1,-1,-1,-1,-1
"462",1,0,1,1,-1,0,-1,-1,1
"467",-1,-1,-1,0,-1,0,-1,-1,-1
"472",0,1,0,1,-1,-1,-1,1,1
"473",0,1,1,1,-1,1,-1,-1,1
"475",-1,-1,1,-1,-1,0,1,-1,-1
"476",-1,-1,0,-1,-1,-1,1,-1,-1
"478",-1,-1,0,-1,-1,1,-1,1,-1
"484",0,-1,1,0,0,1,-1,1,1
"486",0,1,1,0,-1,0,-1,-1,1
"487",0,1,0,0,-1,0,-1,-1,-1
"490",1,1,1,-1,1,1,-1,-1,1
"491",0,1,1,0,-1,1,-1,-1,1
"493",-1,-1,-1,0,-1,-1,-1,1,-1
"494",0,-1,1,0,-1,0,-1,-1,1
"495",-1,0,-1,0,-1,-1,-1,1,-1
"497",0,1,1,-1,-1,0,-1,-1,1
"499",0,1,1,0,-1,0,-1,1,1
"503",-1,0,1,0,-1,-1,-1,-1,-1
"507",1,1,1,-1,1,0,1,-1,1
"508",0,1,1,-1,-1,1,-1,1,1
"511",0,1,1,0,-1,0,1,-1,1
"516",0,1,1,-1,-1,-1,-1,1,1
"521",0,-1,1,1,-1,0,-1,1,1
"522",0,-1,1,1,-1,0,-1,1,-1
"525",1,1,1,-1,-1,0,-1,-1,1
"527",1,1,-1,-1,-1,0,-1,-1,1
"528",1,1,1,-1,1,-1,1,-1,1
"530",0,1,0,-1,-1,-1,-1,-1,-1
"534",0,0,-1,0,-1,-1,1,-1,-1
"538",1,1,1,1,1,0,1,-1,1
"539",-1,-1,1,-1,-1,-1,-1,-1,-1
"541",-1,-1,0,-1,-1,0,-1,-1,-1
"543",1,1,1,0,-1,0,-1,-1,1
"549",-1,0,0,0,-1,0,-1,-1,-1
"551",1,1,1,-1,1,0,-1,-1,1
"558",0,1,1,-1,-1,1,-1,-1,1
"563",0,1,1,-1,1,0,-1,-1,1
"567",0,-1,1,0,-1,-1,-1,1,1
"568",0,1,1,-1,-1,-1,-1,1,1
"569",1,1,1,-1,1,-1,1,-1,1
"571",0,1,1,0,-1,-1,1,-1,1
"574",1,1,1,1,-1,-1,1,-1,1
"576",0,1,0,0,-1,1,-1,-1,-1
"577",-1,1,0,-1,-1,-1,1,-1,-1
"580",1,1,1,-1,-1,1,-1,1,1
"589",0,1,0,1,1,-1,1,-1,1
"591",0,1,-1,1,-1,1,-1,-1,1
"596",0,1,0,-1,-1,1,-1,-1,1
"599",0,-1,0,1,-1,0,-1,-1,1
"606",0,1,1,1,-1,0,-1,1,1
"610",0,1,1,0,-1,1,-1,-1,1
"615",0,1,1,-1,-1,1,-1,1,1
"622",-1,-1,0,-1,-1,-1,-1,-1,-1
"628",-1,-1,0,0,-1,0,-1,1,-1
"639",-1,-1,0,-1,-1,0,1,1,-1
"642",1,1,1,0,0,0,-1,1,1
"645",0,1,1,-1,-1,-1,-1,1,-1
"653",0,-1,1,-1,-1,-1,-1,1,1
"654",-1,-1,-1,-1,-1,0,-1,1,-1
"656",0,-1,1,-1,-1,-1,-1,1,-1
"658",-1,-1,0,-1,-1,0,-1,1,-1
"664",-1,-1,-1,-1,-1,0,-1,1,-1
"665",0,1,1,-1,-1,0,-1,1,1
"666",0,1,1,1,-1,0,-1,1,1
"670",0,1,1,-1,-1,-1,1,-1,1
"672",0,1,-1,1,1,1,-1,-1,1
"673",0,-1,0,-1,-1,-1,-1,-1,-1
"677",-1,-1,1,-1,-1,-1,-1,-1,-1
"685",0,1,1,-1,-1,0,1,-1,1
"692",0,1,0,-1,-1,0,-1,-1,1
"693",0,-1,1,-1,-1,-1,-1,-1,-1
"697",1,1,1,-1,1,1,-1,-1,1
"703",-1,0,-1,0,-1,0,-1,1,-1
"705",1,1,-1,1,-1,0,-1,-1,1
"711",-1,-1,-1,1,-1,-1,-1,1,-1
"712",0,1,-1,0,-1,1,1,-1,1
"714",-1,1,-1,1,-1,0,-1,1,-1
"718",0,1,0,-1,-1,-1,-1,1,-1
"724",-1,-1,0,-1,-1,-1,-1,1,-1
"727",0,1,1,1,-1,0,-1,-1,1
"732",0,1,1,-1,1,1,-1,1,1
"735",-1,0,-1,0,-1,1,-1,-1,-1
"738",0,1,0,-1,-1,0,-1,-1,-1
"739",1,1,1,0,-1,0,1,-1,1
"740",0,-1,-1,-1,-1,-1,-1,-1,-1
"743",-1,1,1,-1,-1,1,-1,-1,1
"759",1,1,1,1,-1,-1,1,-1,1
"762",0,1,1,-1,1,-1,1,-1,1
"763",0,1,1,0,-1,-1,1,-1,1
"770",0,1,1,1,-1,0,-1,-1,1
"780",0,1,0,1,-1,-1,-1,-1,-1
"781",1,1,1,1,-1,0,-1,0,1
"782",-1,-1,-1,-1,-1,-1,-1,-1,-1
"785",0,-1,1,0,-1,-1,-1,1,1
"786",1,-1,-1,-1,-1,0,-1,-1,-1
"787",0,1,0,-1,-1,-1,-1,-1,1
"789",0,-1,1,-1,-1,-1,-1,1,-1
"796",1,-1,-1,0,-1,1,-1,-1,1
"799",0,1,1,-1,1,1,-1,1,1
"800",0,1,0,-1,-1,-1,-1,-1,-1
"801",-1,-1,0,0,-1,0,-1,-1,-1
"810",1,1,1,-1,-1,0,-1,-1,1
"811",0,-1,1,1,-1,-1,-1,1,-1
"814",-1,0,0,0,-1,0,-1,1,-1
"816",0,-1,-1,-1,-1,0,-1,1,-1
"817",1,1,1,-1,1,1,-1,0,1
"826",1,1,1,0,1,0,-1,-1,1
"834",-1,-1,-1,-1,-1,0,-1,1,-1
"839",-1,0,1,0,-1,-1,-1,-1,-1
"840",-1,-1,1,-1,-1,1,-1,1,-1
"842",0,1,1,-1,1,1,-1,-1,1
"852",0,1,1,-1,-1,0,1,-1,1
"855",1,1,1,1,-1,1,-1,-1,1
"856",-1,-1,-1,-1,-1,0,-1,-1,-1
"857",0,1,1,-1,-1,0,-1,-1,1
"859",-1,0,-1,0,-1,-1,-1,-1,-1
"861",1,1,1,1,-1,1,-1,1,1
"869",0,-1,0,0,-1,-1,1,1,-1
"872",0,1,1,1,-1,0,-1,1,1
"874",1,1,-1,-1,-1,-1,-1,1,1
"875",1,1,1,-1,-1,-1,1,-1,1
"879",0,-1,1,-1,-1,-1,-1,1,-1
"894",0,1,0,-1,-1,-1,-1,1,-1
"895",0,-1,1,0,1,0,-1,-1,1
"898",-1,-1,-1,-1,-1,0,-1,1,-1
"902",0,-1,-1,-1,-1,-1,-1,-1,-1
"911",0,1,1,0,-1,-1,-1,-1,1
"913",-1,0,-1,0,-1,0,1,-1,-1
"931",-1,-1,-1,1,-1,1,-1,1,-1
"932",0,1,0,-1,-1,-1,-1,1,-1
"933",0,0,0,-1,-1,-1,-1,-1,-1
"936",0,1,1,0,-1,0,-1,-1,1
"939",1,1,1,0,1,1,-1,-1,1
"941",0,1,1,-1,-1,0,-1,-1,1
"942",0,0,-1,0,-1,0,-1,1,-1
"944",1,1,1,-1,-1,1,-1,1,1
"950",1,-1,1,0,-1,-1,1,-1,1
"960",-1,-1,-1,0,-1,0,-1,-1,-1
"963",1,1,1,-1,1,-1,-1,-1,1
"965",0,1,1,0,1,-1,-1,1,1
"967",0,-1,1,-1,-1,0,-1,-1,-1
"969",0,1,1,1,1,0,1,-1,1
"981",0,1,1,-1,-1,-1,-1,-1,1
"988",0,0,1,-1,-1,0,-1,-1,1
"992",0,-1,1,-1,-1,-1,-1,-1,-1
"995",0,1,1,-1,-1,-1,-1,-1,1
"997",-1,-1,-1,-1,-1,-1,-1,-1,-1
"1000",0,-1,0,1,-1,1,-1,-1,-1
"1003",0,1,1,-1,-1,0,-1,-1,1
"1012",-1,-1,-1,-1,-1,1,-1,1,-1
"1015",1,-1,1,0,-1,0,-1,-1,1
"1017",0,1,1,0,-1,1,-1,1,1
"1023",0,-1,0,-1,-1,-1,-1,-1,-1
"1026",1,1,1,1,1,1,1,1,1
"1027",1,1,0,0,1,0,1,-1,1
"1028",0,1,1,0,-1,-1,-1,-1,-1
"1031",-1,0,-1,0,-1,0,-1,1,-1
"1033",1,1,-1,1,1,0,1,-1,1
"1034",0,-1,1,0,-1,1,-1,1,-1
"1036",-1,-1,-1,-1,-1,0,1,-1,-1
"1037",-1,0,-1,0,-1,0,1,-1,-1
"1038",-1,-1,-1,-1,-1,-1,1,-1,-1
"1042",0,1,0,1,-1,0,-1,-1,1
"1046",-1,-1,-1,-1,-1,0,-1,1,-1
"1047",0,1,-1,-1,-1,0,-1,1,1
"1053",0,1,1,-1,-1,-1,-1,-1,1
"1058",1,1,-1,-1,-1,-1,-1,0,1
"1060",0,-1,-1,0,-1,0,1,-1,-1
"1061",0,1,1,-1,1,1,-1,1,1
"1063",-1,-1,-1,-1,-1,0,-1,-1,-1
"1065",-1,-1,0,0,-1,-1,-1,1,-1
"1069",-1,-1,1,-1,-1,1,-1,-1,-1
"1081",1,1,1,1,-1,1,-1,-1,1
"1082",-1,-1,0,-1,-1,0,-1,-1,-1
"1084",-1,-1,-1,-1,-1,-1,-1,-1,-1
"1086",-1,0,-1,0,-1,1,-1,1,-1
"1095",0,-1,-1,-1,-1,0,1,1,-1
"1096",0,1,0,1,-1,-1,-1,-1,1
"1101",1,1,1,0,-1,0,1,-1,1
"1102",0,1,1,0,-1,-1,-1,1,-1
"1104",-1,-1,-1,0,-1,0,-1,-1,-1
"1105",0,1,1,-1,1,0,-1,-1,1
"1108",1,1,1,0,1,-1,-1,1,1
"1112",1,1,1,-1,-1,0,-1,-1,1
"1113",1,1,1,0,-1,0,-1,-1,1
"1114",0,1,-1,0,-1,0,-1,1,1
"1119",1,1,1,-1,-1,0,-1,-1,1
"1123",1,1,1,-1,-1,1,-1,-1,1
"1143",-1,-1,0,-1,-1,-1,-1,1,-1
"1144",0,1,0,1,-1,-1,1,0,-1
"1146",1,1,1,1,-1,0,-1,-1,1
"1151",0,1,0,1,-1,0,-1,1,1
"1152",1,1,1,-1,-1,1,-1,-1,1
"1158",-1,-1,-1,-1,-1,-1,-1,-1,-1
"1160",-1,0,-1,0,-1,1,-1,1,-1
"1163",1,1,1,-1,-1,1,-1,-1,1
"1164",0,1,0,1,-1,-1,1,-1,1
"1165",1,1,1,1,-1,0,-1,-1,1
"1166",0,1,1,0,-1,0,-1,-1,1
"1167",-1,-1,1,0,-1,0,-1,-1,-1
"1168",-1,-1,0,-1,-1,-1,-1,-1,-1
"1178",-1,0,-1,0,-1,-1,-1,-1,-1
"1179",0,1,1,-1,-1,-1,0,-1,1
"1181",-1,-1,-1,0,-1,1,-1,-1,-1
"1185",1,1,-1,1,1,0,1,-1,1
"1188",1,1,-1,1,1,-1,-1,1,1
"1196",-1,-1,-1,0,-1,0,-1,0,-1
"1201",1,1,-1,1,-1,0,-1,-1,1
"1203",-1,1,0,-1,-1,0,-1,1,-1
"1208",0,1,1,-1,-1,1,-1,-1,1
"1217",0,1,1,0,-1,0,-1,-1,1
"1219",1,1,-1,1,1,1,-1,1,1
"1221",0,1,0,0,1,-1,1,-1,1
"1225",0,-1,-1,-1,-1,-1,-1,-1,-1
"1227",0,1,1,1,-1,-1,-1,-1,1
"1233",0,1,1,1,-1,0,-1,-1,1
"1234",-1,-1,-1,-1,-1,0,-1,1,-1
"1235",0,-1,0,-1,-1,-1,-1,1,-1
"1238",0,1,1,0,-1,0,-1,1,1
"1241",-1,-1,0,0,-1,-1,-1,1,-1
"1242",0,1,1,-1,1,1,1,-1,1
"1248",0,1,1,0,-1,0,-1,-1,1
"1250",0,-1,0,-1,-1,0,-1,-1,1
"1252",0,1,-1,1,-1,0,-1,-1,1
"1260",1,1,-1,1,1,1,1,-1,1
"1264",-1,1,0,-1,-1,0,-1,-1,-1
"1265",-1,-1,0,-1,-1,0,-1,1,-1
"1266",1,1,1,-1,1,-1,1,-1,1
"1273",0,1,1,0,-1,-1,1,-1,1
"1277",0,1,1,1,-1,1,-1,-1,1
"1282",-1,-1,0,0,-1,0,-1,1,-1
"1283",-1,0,0,0,-1,0,-1,-1,-1
"1286",0,-1,0,-1,-1,0,-1,-1,-1
"1291",0,1,1,-1,-1,-1,-1,0,-1
"1292",1,1,1,1,1,1,1,-1,1
"1299",0,1,1,1,-1,-1,-1,-1,1
"1301",1,1,1,-1,1,0,-1,-1,1
"1302",-1,0,-1,0,-1,1,-1,-1,-1
"1306",-1,-1,-1,-1,-1,0,-1,-1,-1
"1307",1,1,1,-1,-1,0,-1,-1,1
"1309",0,1,1,0,-1,1,1,-1,1
"1310",0,1,1,-1,1,0,-1,-1,1
"1311",0,1,1,1,-1,1,1,-1,1
"1312",0,1,1,1,-1,0,1,-1,1
"1314",0,-1,0,1,-1,-1,-1,-1,-1
"1316",1,1,1,1,0,1,-1,-1,1
"1317",-1,0,1,0,-1,0,1,-1,-1
"1323",-1,-1,-1,-1,-1,0,-1,1,-1
"1324",0,1,0,1,-1,0,-1,-1,-1
"1326",-1,-1,0,-1,-1,0,-1,-1,-1
"1334",0,-1,1,-1,-1,-1,-1,-1,-1
"1341",1,1,1,-1,1,1,-1,-1,1
"1342",0,1,0,-1,-1,1,1,-1,-1
"1344",-1,-1,1,1,-1,1,1,-1,-1
"1351",0,1,-1,-1,-1,-1,-1,-1,1
"1352",0,-1,-1,-1,-1,1,-1,1,-1
"1354",0,1,1,0,-1,1,-1,-1,1
"1358",0,0,0,-1,-1,-1,-1,1,-1
"1366",-1,0,-1,0,-1,-1,-1,1,-1
"1368",0,1,0,-1,-1,0,-1,-1,-1
"1370",0,-1,0,1,-1,0,-1,-1,-1
"1372",-1,-1,0,-1,-1,0,1,1,-1
"1373",0,1,0,-1,-1,-1,-1,1,-1
"1375",0,1,-1,0,-1,1,-1,1,1
"1378",1,1,1,-1,-1,-1,1,-1,1
"1379",0,1,1,1,-1,-1,-1,-1,1
"1380",1,1,1,-1,-1,-1,-1,-1,1
"1382",-1,-1,-1,-1,-1,0,-1,1,-1
"1383",0,1,0,1,-1,0,-1,-1,1
"1388",0,1,1,1,-1,-1,-1,-1,1
"1390",-1,0,-1,0,-1,1,-1,-1,-1
"1392",-1,0,-1,0,-1,0,-1,1,-1
"1402",0,1,0,0,-1,-1,-1,0,-1
"1412",0,1,1,1,-1,1,-1,1,1
"1414",1,1,1,0,0,0,-1,-1,1
"1415",0,1,0,1,-1,0,-1,1,-1
"1420",0,1,1,1,1,0,-1,-1,1
"1421",-1,0,1,0,-1,1,-1,-1,-1
"1423",0,-1,1,0,-1,0,-1,-1,1
"1426",-1,0,-1,0,-1,0,-1,-1,-1
"1429",0,-1,1,0,-1,0,1,-1,1
"1439",1,1,1,0,-1,-1,-1,1,1
"1447",0,1,1,1,-1,-1,-1,-1,1
"1448",0,-1,1,0,-1,-1,-1,0,-1
"1453",0,1,1,-1,-1,0,-1,-1,-1
"1457",0,1,0,-1,-1,0,-1,1,-1
"1462",1,0,1,0,-1,1,1,1,1
"1466",0,1,1,1,1,0,-1,1,1
"1467",-1,0,-1,0,-1,0,-1,-1,-1
"1470",0,1,0,1,0,0,-1,-1,-1
"1471",1,1,-1,1,-1,-1,-1,1,1
"1478",-1,-1,-1,-1,-1,0,-1,-1,-1
"1482",0,-1,1,-1,-1,0,-1,1,-1
"1483",0,1,1,1,-1,0,-1,-1,1
"1495",1,1,1,0,1,0,-1,-1,1
"1500",1,1,1,0,-1,0,-1,1,1
"1505",0,-1,1,0,-1,1,0,-1,1
"1509",-1,-1,0,0,-1,0,-1,-1,-1
"1512",0,-1,-1,-1,-1,-1,-1,1,-1
"1515",1,1,1,-1,-1,1,-1,-1,1
"1516",0,1,1,1,-1,1,-1,-1,1
"1517",-1,-1,-1,0,-1,0,-1,-1,-1
"1520",1,1,1,1,-1,0,-1,-1,1
"1522",1,1,0,-1,0,0,-1,1,1
"1524",0,1,1,-1,-1,1,1,-1,1
"1530",0,1,0,1,-1,1,-1,0,1
"1531",-1,-1,0,-1,-1,-1,-1,-1,-1
"1537",0,1,1,-1,-1,0,-1,-1,1
"1543",-1,-1,0,-1,-1,0,-1,1,-1
"1544",-1,-1,-1,1,-1,0,-1,-1,-1
"1552",0,1,1,0,-1,-1,-1,-1,1
"1554",-1,0,-1,0,-1,0,1,1,-1
"1569",1,1,1,1,-1,1,-1,-1,1
"1574",-1,-1,-1,-1,-1,1,1,-1,-1
"1575",1,-1,1,0,-1,0,-1,-1,1
"1578",-1,0,1,0,-1,1,-1,1,-1
"1580",-1,0,1,0,-1,-1,-1,1,-1
"1581",0,1,1,0,-1,1,-1,-1,1
"1583",0,1,0,1,-1,1,-1,-1,-1
"1585",0,1,1,0,1,0,-1,-1,1
"1592",0,1,1,0,-1,0,-1,-1,1
"1596",-1,1,0,-1,-1,1,-1,-1,-1
"1597",-1,-1,-1,-1,-1,0,-1,0,-1
"1601",1,1,1,1,-1,-1,-1,1,1
"1607",0,1,0,-1,-1,0,-1,-1,1
"1608",1,1,1,0,-1,1,-1,-1,1
"1609",1,1,1,-1,-1,-1,-1,-1,1
"1611",0,1,0,0,-1,1,-1,1,-1
"1612",0,-1,1,0,-1,0,-1,-1,-1
"1618",-1,0,1,0,-1,1,-1,-1,-1
"1619",1,1,0,1,-1,-1,-1,-1,1
"1622",0,1,1,1,-1,-1,-1,-1,1
"1626",0,1,1,0,-1,1,-1,-1,1
"1627",0,1,1,1,-1,0,-1,-1,1
"1630",1,1,1,1,-1,1,-1,-1,1
"1633",1,1,1,0,1,1,-1,-1,1
"1635",0,1,1,-1,-1,0,-1,-1,1
"1642",0,-1,0,-1,-1,-1,-1,1,-1
"1647",-1,0,-1,0,-1,1,-1,1,-1
"1651",0,1,1,1,-1,-1,-1,-1,1
"1652",0,1,-1,1,-1,0,-1,1,1
"1656",0,1,1,1,-1,1,-1,1,1
"1661",0,1,0,-1,-1,1,-1,-1,1
"1662",-1,-1,-1,-1,-1,0,-1,-1,-1
"1665",1,1,1,-1,1,0,1,-1,1
"1666",1,1,1,-1,-1,-1,-1,-1,1
"1669",-1,0,-1,0,-1,-1,-1,1,-1
"1673",0,1,1,-1,-1,0,-1,-1,1
"1674",0,-1,1,1,-1,0,-1,1,-1
"1677",-1,-1,0,-1,-1,-1,1,-1,-1
"1679",-1,0,1,0,-1,-1,-1,-1,-1
"1687",-1,0,-1,0,-1,0,-1,-1,-1
"1689",0,0,1,-1,-1,-1,-1,-1,-1
"1690",1,1,1,1,-1,0,-1,-1,1
"1691",0,1,1,-1,-1,0,1,-1,1
"1696",0,1,1,-1,-1,1,1,-1,1
"1700",0,1,0,1,-1,-1,-1,1,1
"1701",0,1,1,1,-1,1,-1,-1,1
"1703",-1,-1,1,-1,-1,0,1,-1,-1
