"","URL_of_Anchor","Request_URL","URL_Length","having_At_Symbol","Prefix_Suffix","having_Sub_Domain","having_IP_address","Result"
"1",0,1,1,1,-1,0,1,-1
"2",0,1,0,1,-1,-1,1,-1
"5",0,1,0,1,-1,1,-1,1
"6",-1,-1,0,1,-1,-1,1,-1
"10",0,-1,1,1,-1,0,1,1
"12",-1,-1,1,1,-1,0,-1,-1
"15",-1,-1,-1,-1,-1,0,1,-1
"24",0,-1,-1,-1,-1,1,1,1
"36",-1,-1,0,1,-1,-1,1,-1
"37",-1,-1,0,1,-1,-1,1,-1
"38",1,1,1,1,1,-1,1,1
"42",-1,-1,-1,1,-1,-1,1,-1
"45",0,1,1,1,-1,0,1,1
"46",0,1,1,1,1,-1,-1,1
"48",-1,1,0,1,-1,-1,1,-1
"51",0,0,1,1,-1,1,1,1
"53",0,-1,-1,1,-1,1,1,-1
"57",0,1,-1,1,0,1,1,1
"63",0,-1,-1,1,-1,-1,1,-1
"79",1,1,-1,1,-1,-1,-1,1
"80",-1,-1,-1,1,-1,0,1,-1
"84",0,1,0,1,-1,1,1,1
"85",-1,-1,-1,1,-1,0,-1,-1
"87",0,1,1,1,-1,-1,1,1
"88",1,1,-1,1,1,1,1,1
"98",-1,-1,-1,1,-1,-1,-1,-1
"104",0,1,-1,1,-1,-1,1,1
"112",0,1,-1,1,-1,1,1,-1
"113",1,1,-1,1,1,-1,1,1
"116",-1,1,1,1,-1,1,-1,-1
"119",1,1,-1,1,-1,1,1,1
"120",0,-1,-1,1,-1,-1,1,1
"123",0,-1,-1,1,-1,0,1,1
"125",0,1,1,1,0,0,1,1
"128",0,-1,-1,1,1,0,1,1
"129",0,-1,-1,1,-1,-1,1,-1
"136",0,1,-1,1,-1,-1,1,-1
"141",-1,1,1,-1,-1,0,1,-1
"143",0,-1,-1,1,-1,1,1,-1
"151",0,1,-1,1,-1,1,1,1
"155",0,1,-1,1,-1,1,1,1
"158",0,-1,-1,1,-1,0,1,1
"160",0,1,-1,1,-1,1,1,1
"162",-1,-1,-1,1,-1,0,-1,-1
"169",0,1,-1,1,1,0,1,1
"175",1,1,-1,1,1,-1,1,1
"180",0,1,-1,1,-1,-1,1,1
"182",0,1,-1,1,-1,1,-1,1
"185",0,-1,-1,1,-1,-1,1,-1
"189",0,1,-1,1,-1,0,1,1
"191",0,1,-1,1,-1,0,1,-1
"196",0,1,1,1,-1,0,1,1
"199",0,0,-1,1,1,1,1,1
"206",0,-1,-1,1,-1,1,1,1
"207",0,1,-1,0,-1,1,1,1
"208",0,1,1,1,-1,1,1,1
"218",0,1,-1,1,-1,-1,1,-1
"219",0,1,-1,1,-1,1,1,1
"223",-1,1,1,1,-1,0,1,-1
"227",1,1,-1,1,-1,-1,1,1
"229",0,-1,-1,1,-1,-1,1,-1
"233",0,-1,-1,1,-1,-1,1,1
"234",1,-1,1,1,-1,0,-1,1
"236",0,-1,-1,1,-1,-1,1,1
"240",0,1,-1,1,-1,1,1,1
"244",-1,1,-1,1,-1,-1,1,-1
"247",0,1,1,1,-1,-1,-1,-1
"248",0,-1,-1,1,-1,-1,0,-1
"250",-1,-1,-1,1,-1,-1,1,-1
"251",-1,1,-1,0,-1,0,-1,-1
"252",0,-1,-1,1,-1,-1,1,1
"254",0,-1,-1,1,-1,-1,1,-1
"257",-1,-1,-1,1,-1,0,1,-1
"259",0,1,-1,1,-1,0,1,1
"264",-1,1,-1,1,-1,-1,1,-1
"267",1,1,-1,1,1,0,1,1
"268",1,1,-1,-1,1,1,1,1
"269",0,1,1,1,1,0,-1,1
"271",0,1,1,1,1,1,-1,1
"273",0,1,-1,1,-1,-1,1,1
